Codmundv,nomemun
0,A Coruña
1,Albacete
2,Alicante/Alacant
3,Almería
4,Araba/Álava
5,Asturias
6,Badajoz
7,Balears
8,Barcelona
9,Bizkaia
10,Burgos
11,Cantabria
12,Castellón/Castelló
13,Ceuta
14,Ciudad Real
15,Cuenca
16,Cáceres
17,Cádiz
18,Córdoba
19,Gipuzkoa
20,Girona
21,Granada
22,Guadalajara
23,Huelva
24,Huesca
25,Jaén
26,La Rioja
27,Las Palmas
28,León
29,Lleida
30,Lugo
31,Madrid
32,Melilla
33,Murcia
34,Málaga
35,Navarra
36,Ourense
37,Palencia
38,Pontevedra
39,Salamanca
40,Santa Cruz de Tenerife
41,Segovia
42,Sevilla
43,Soria
44,Tarragona
45,Teruel
46,Toledo
47,Valencia/València
48,Valladolid
49,Zamora
50,Zaragoza
51,Ávila
