Province,Population_2025
Albacete,390141
Alicante/Alacant,2029213
Almería,770355
Araba/Álava,341441
Asturias,1014112
Ávila,160615
Badajoz,665035
"Balears, Illes",1244394
Barcelona,5960134
Bizkaia,1166476
Burgos,362013
Cáceres,387963
Cádiz,1261606
Cantabria,593386
Castellón/Castelló,626668
Ciudad Real,494316
Córdoba,770977
"Coruña, A",1135206
Cuenca,199365
Gipuzkoa,732196
Girona,828976
Granada,943790
Guadalajara,285320
Huelva,536848
Huesca,229998
Jaén,618206
León,446857
Lleida,456128
Lugo,325835
Madrid,7125583
Málaga,1789103
Murcia,1584801
Navarra,683525
Ourense,305510
Palencia,158365
"Palmas, Las",1171403
Pontevedra,948873
"Rioja, La",327115
Salamanca,328060
Santa Cruz De Tenerife,1086816
Segovia,157984
Sevilla,1972290
Soria,90199
Tarragona,874312
Teruel,135743
Toledo,751119
Valencia/València,2758415
Valladolid,528253
Zamora,165543
Zaragoza,986889
Ceuta,83512
Melilla,87001
